reward the trained setup 8 times, learning rate 0.05
distance  shared cells  shift as a share of the trained shift
    0.00          100%     100%
    0.15           37%      57%
    0.30           20%      34%
    0.45           11%      23%
    0.60            3%       5%
    0.80            2%       5%
    1.00            1%       4%

punish the trained setup 8 times, learning rate 0.05
distance  shared cells  shift as a share of the trained shift
    0.00          100%     100%
    0.15           37%      56%
    0.30           20%      31%
    0.45           11%      21%
    0.60            3%       4%
    0.80            2%       5%
    1.00            1%       3%

